,article,unit_price
144,entremets,3.5
145,traiteur,4.8
146,brioche_de_noel,6.0
147,traiteur,12.6
148,traiteur,8.9
149,traiteur,10.5
150,traiteur,11.65
151,traiteur,6.85
152,traiteur,9.6
153,framboisier,3.0
154,buche_4pers,14.0
155,buche_6pers,21.0
156,gd_plateau_sale,18.0
157,buche_8pers,28.0
158,traiteur,10.3
159,traiteur,20.6
160,pt_plateau_sale,10.0
161,traiteur,10.4
162,traiteur,11.1
163,reduction_sucrees_12,10.0
164,pain_noir,0.6
165,reduction_sucrees_24,15.0
166,traiteur,14.65
167,traiteur,15.6
168,traiteur,23.6
169,traiteur,21.6
170,traditional_baguette,1.25
171,croissant,1.15
172,pain_au_chocolat,1.25
173,complet,1.8
174,cereal_baguette,1.3
175,baguette,0.95
176,banette,1.1
177,quim_bread,1.1
178,pain_choco_amandes,1.6
179,cookie,1.1
180,chausson_aux_pommes,1.5
181,demi_baguette,0.5
182,pain,1.25
183,eclair,2.1
184,banettine,0.65
185,boule_400g,1.6
186,tartelette,2.1
187,paris_brest,2.2
188,demi_pain,0.65
189,special_bread,2.5
190,croissant_amandes,1.5
191,seigle,1.9
192,boule_polka,1.7
193,boule_200g,1.15
194,pain_banette,1.5
195,brioche,6.0
196,pain_aux_raisins,1.5
197,moisson,2.1
198,campagne,1.9
199,financier_x5,3.5
200,chou_chantilly,2.1
201,kouign_amann,2.2
202,ficelle,0.65
203,bottereau,0.5
204,meringue,1.0
205,flan,2.1
206,flan_abricot,2.2
207,special_bread_kg,5.0
208,tropezienne,2.1
209,gd_far_breton,7.5
210,vik_bread,2.6
211,traiteur,8.6
212,pain_s/sel,1.6
213,grand_far_breton,7.5
214,milles_feuilles,2.2
215,gd_kouign_amann,8.0
216,pt_nantais,3.5
217,noix_japonaise,2.2
218,baguette_graine,1.35
219,tarte_fruits_6p,14.0
220,savarin,2.2
221,traiteur,4.9
222,tarte_fruits_4p,10.0
223,traiteur,6.8
224,traiteur,5.8
225,traiteur,10.6
226,sandwich_complet,5.0
227,formule_sandwich,7.0
228,sand_jb_emmental,4.0
229,palmier,1.0
230,paille,1.5
231,plat_6.50e,6.5
232,plat_7.60e,7.6
233,plat_7.00,7.0
234,traiteur,5.32
235,plat,4.9
236,royal,3.5
237,framboisier,3.5
238,plat_8.30e,8.3
239,traiteur,5.3
240,royal_4p,14.0
241,fraisier,3.5
242,formule_pate,6.5
243,traiteur,7.3
244,guerandais,3.5
245,plat,1.0
246,plat,3.0
247,traiteur,22.8
248,tartelette_fraise,3.5
249,tarte_fraise_6p,21.0
250,tarte_fraise_4per,14.0
251,briochette,1.0
252,royal_6p,21.0
253,palet_breton,1.5
254,plat,14.0
255,gd_nantais,12.0
256,traiteur,9.3
257,eclair_fraise_pistache,2.2
258,tropezienne_framboise,2.2
259,banette,1.15
260,traditional_baguette,1.3
261,pain_choco_amandes,1.7
262,pain_au_chocolat,1.3
263,quim_bread,1.2
264,seigle,2.0
265,campagne,2.0
266,banettine,0.7
267,croissant,1.2
268,ficelle,0.7
269,chausson_aux_pommes,1.6
270,baguette,1.0
271,pain_aux_raisins,1.6
272,special_bread,2.6
273,pain,1.3
274,croissant_amandes,1.6
275,boule_400g,1.7
276,flan,2.2
277,boule_200g,1.2
278,boule_polka,1.8
279,eclair,2.2
280,tartelette,2.2
281,complet,1.9
282,moisson,2.2
283,pain_banette,1.6
284,flan_abricot,2.3
285,special_bread_kg,5.2
286,financier_x5,4.0
287,cereal_baguette,1.35
288,demi_pain,0.7
289,kouign_amann,2.3
290,vik_bread,2.7
291,gd_kouign_amann,9.0
292,plat,9.1
293,milles_feuilles,2.3
294,caramel_noix,2.4
295,traiteur,5.0
296,baguette_graine,1.4
297,tropezienne_framboise,2.3
298,chou_chantilly,2.2
299,pain_s/sel,2.0
300,tropezienne,2.2
301,cookie,1.15
302,traiteur,6.4
303,noix_japonaise,2.3
304,savarin,2.5
305,gd_nantais,14.0
306,macaron,1.0
307,12_macaron,10.0
308,palet_breton,1.6
309,pain_graines,2.1
310,armoricain,2.5
311,eclair_fraise_pistache,2.5
312,traiteur,3.0
313,plaque_tarte_25p,35.0
314,traiteur,11.62
315,sable_f__p,1.6
316,palet_breton,1.2
317,st_honore,3.5
318,milles_feuilles,2.5
319,pain_suisse_pepito,1.6
320,plat,1.5
321,tulipe,3.5
322,traiteur,4.7
323,tartelette_cocktail,3.0
324,sachet_de_viennoiserie,4.0
